,매장이름,구,주소
0,관악우성점,관악구,서울 관악구 관악로 232 (봉천동)
1,관악하나로마트점,관악구,"서울 관악구 남부순환로 1369 (신림동, 관악농협농산물백화점)"
2,낙성대역점,관악구,서울 관악구 남부순환로 1915 (봉천동)
3,난곡사거리점,관악구,서울 관악구 남부순환로 1444 (신림동)
4,난향동점,관악구,서울 관악구 난곡로 60 (신림동)
5,남현홈플러스점,관악구,"서울 관악구 과천대로 909 (남현동, 남현프라자)"
6,녹두거리점,관악구,서울 관악구 신림로 91 (신림동)
7,당곡사거리점,관악구,서울 관악구 봉천로 245 (봉천동)
8,보라매중앙점,관악구,"서울 관악구 보라매로 62 (봉천동, 보라매삼성아파트)"
9,봉일시장점,관악구,서울 관악구 은천로 23 (봉천동)
10,봉천역점,관악구,서울 관악구 남부순환로 1725 (봉천동)
11,봉천중앙점,관악구,서울 관악구 남부순환로 1874 (봉천동)
12,봉천현대시장점,관악구,서울 관악구 양녕로 39-1 (봉천동)
13,서울대중앙점,관악구,서울 관악구 남부순환로216길 2 (봉천동)
14,신대방역점,관악구,서울 관악구 난곡로 368 (신림동)
15,신림난곡점,관악구,서울 관악구 난곡로 197 (신림동)
16,신림남부초교점,관악구,서울 관악구 남부순환로 1541-1 (신림동)
17,신림대학동점,관악구,서울 관악구 호암로26길 17 (신림동)
18,신림문화교점,관악구,"서울 관악구 신림로46길 1 (신림동, 서원동성당)"
19,신림문화교점,관악구,서울 관악구 신림로 262-1 (신림동)
20,신림미성점,관악구,서울 관악구 난곡로 250 (신림동)
21,신림신원점,관악구,서울 관악구 신원로 16 (신림동)
22,신림신화교점,관악구,서울 관악구 신림로 199 (신림동)
23,신림역점,관악구,서울 관악구 신림로 312 (신림동)
24,신림패션문화점,관악구,서울 관악구 봉천로6길 24 (신림동)
25,인헌점,관악구,서울 관악구 인헌길 17 (봉천동)
26,청룡중앙점,관악구,"서울 관악구 쑥고개로 80 (봉천동, 제이빌딩)"
27,금란망우점,중랑구,서울 중랑구 망우로 460 (망우동)
28,동원사거리점,중랑구,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)"
29,망우동점,중랑구,서울 중랑구 망우로 416 (망우동)
30,망우중앙점,중랑구,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)"
31,망우코레일점,중랑구,"서울 중랑구 망우로55길 11-10 (상봉동, 망우역)"
32,먹골역점,중랑구,서울 중랑구 동일로157길 13 (묵동)
33,면목경남아너스빌점,중랑구,서울 중랑구 면목로27길 92 (면목동)
34,면목늘찬병원점,중랑구,"서울 중랑구 동일로 643 (면목동, 늘찬병원)"
35,면목본동점,중랑구,서울 중랑구 면목로 370 (면목동)
36,면목역점,중랑구,"서울 중랑구 면목로 429 (면목동, 킴스아파트)"
37,묵동자이점,중랑구,"서울 중랑구 동일로 932 (묵동, 묵동자이아파트)"
38,봉화산역점,중랑구,서울 중랑구 신내로 211 (신내동)
39,사가정아이파크점,중랑구,"서울 중랑구 동일로92길 57 (면목동, 메디포레)"
40,사가정역점,중랑구,서울 중랑구 면목로 325 (면목동)
41,상봉엠코점,중랑구,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)"
42,상봉역점,중랑구,서울 중랑구 망우로 277 (상봉동)
43,상봉중앙점,중랑구,서울 중랑구 망우로 316 (상봉동)
44,서울상봉1동점,중랑구,서울 중랑구 상봉중앙로 36 (상봉동)
45,서울중랑경찰서점,중랑구,서울 중랑구 신내역로3길 40-11 (신내동)
46,서울중화초등학교점,중랑구,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)"
47,서일중앙점,중랑구,"서울 중랑구 용마산로 394 (면목동, 해동검도)"
48,신내동점,중랑구,서울 중랑구 봉화산로 215 (신내동)
49,양원남부점,중랑구,서울 중랑구 양원역로 25-10 (망우동)
50,양원역점,중랑구,서울 중랑구 양원역로14가길 24 (망우동)
51,용마산역점,중랑구,서울 중랑구 면목로 254-1 (면목동)
52,중랑교차로점,중랑구,서울 중랑구 동일로 683 (면목동)
53,중랑역점,중랑구,서울 중랑구 망우로 198 (상봉동)
54,중화동점,중랑구,서울 중랑구 동일로129길 1 (중화동)
55,중화역점,중랑구,"서울 중랑구 동일로 815, 1층"
56,화랑대역점,중랑구,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)"
57,강남YMCA점,강남구,서울 강남구 논현동
58,강남구청역아이티웨딩점,강남구,"서울 강남구 학동로 338 (논현동, 강남파라곤)"
59,강남논현학동점,강남구,서울 강남구 논현로131길 28 (논현동)
60,강남대치점,강남구,"서울 강남구 역삼로 415 (대치동, 성진빌딩)"
61,강남도산점,강남구,서울 강남구 도산대로37길 20 (신사동)
62,강남세곡점,강남구,"서울 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈)"
63,강남율현점,강남구,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)"
64,개포동역점,강남구,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)"
65,건설회관점,강남구,서울 강남구 언주로 711 (논현동)
66,대청역점,강남구,"서울 강남구 개포로109길 34 (개포동, 대청프라자)"
67,대치역점,강남구,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩)"
68,도곡2동점,강남구,"서울 강남구 논현로 142 (도곡동, 동현빌딩)"
69,도산사거리점,강남구,서울 강남구 논현동 
70,삼성대치점,강남구,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)"
71,삼성동점,강남구,서울 강남구 테헤란로88길 10 (대치동)
72,삼성중앙역점,강남구,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)"
73,삼성한전점,강남구,서울 강남구 테헤란로107길 11 (삼성동)
74,선릉역점,강남구,"서울 강남구 테헤란로 332 (역삼동, HJ타워)"
75,선릉점,강남구,"서울 강남구 선릉로86길 15 (대치동, 현대선릉 GOLD TOWER)"
76,선정릉역점,강남구,서울 강남구 봉은사로 326 (역삼동)
77,수서역점,강남구,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)"
78,신사역점,강남구,서울 강남구 압구정로2길 62 (신사동)
79,신사점,강남구,서울 강남구 도산대로 118 (논현동)
80,압구정로데오역점,강남구,서울 강남구 선릉로161길 20 (신사동)
81,압구정점,강남구,서울 강남구 신사동
82,압구정현대점 ,강남구,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)"
83,역삼더블루점,강남구,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)"
84,역삼역점,강남구,서울 강남구 테헤란로25길 17 (역삼동)
85,역삼월드점,강남구,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)"
86,역삼점,강남구,서울 강남구 논현로72길 13 (역삼동)
87,역삼중앙점,강남구,서울 강남구 언주로81길 8 (역삼동)
88,역삼초교점,강남구,서울 강남구 강남대로 314 (역삼동)
89,역삼충현점,강남구,서울 강남구 논현로98길 7 (역삼동)
90,역삼플래티넘점,강남구,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)"
91,을지병원사거리점,강남구,서울 강남구 도산대로30길 7 (논현동)
92,이디야커피랩,강남구,"서울 강남구 논현로 636 (논현동, 이디야빌딩)"
93,일원동점,강남구,서울 강남구 양재대로27길 20 (일원동)
94,청담사거리점,강남구,서울 강남구 도산대로 521 (청담동)
95,청담역점,강남구,"서울 강남구 삼성로 721 (청담동, 룩희 819)"
96,포이사거리점,강남구,서울 강남구 개포로 218 (개포동)
97,학동역점,강남구,"서울 강남구 학동로 219 (논현동, 국제빌딩)"
98,학동제마점,강남구,서울 강남구 학동로34길 22 (논현동)
99,한티역점,강남구,서울 강남구 도곡로69길 8 (대치동)
100,경희대점,동대문구,서울 동대문구 경희대로 4 (회기동)
101,경희대캠퍼스점,동대문구,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)"
102,답십리사거리점,동대문구,서울 동대문구 답십리로 145 (답십리동)
103,답십리역점,동대문구,서울 동대문구 천호대로 265 (답십리동)
104,답십리파크자이점,동대문구,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)"
105,동대문구청점,동대문구,서울 동대문구 천호대로 153-1 (용두동)
106,동부병원사거리점,동대문구,서울 동대문구 무학로 104 (용두동)
107,배봉초교사거리점,동대문구,서울 동대문구 답십리로63길 131 (장안동)
108,서울시립대점,동대문구,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)"
109,신설동역점,동대문구,서울 동대문구 천호대로 11-3 (신설동)
110,용두동사거리점,동대문구,서울 동대문구 왕산로 68 (용두동)
111,용두동점,동대문구,서울 동대문구 고산자로 413-1 (용두동)
112,이문점 ,동대문구,서울 동대문구 신이문로 19 (이문동)
113,장안동사거리점,동대문구,서울 동대문구 답십리로 309 (장안동)
114,장안동점,동대문구,서울 동대문구 장한로 43 (장안동)
115,장안중랑천점,동대문구,서울 동대문구 장한로18길 32 (장안동)
116,장안중앙점,동대문구,서울 동대문구 사가정로25길 42 (장안동)
117,장한평군자초교점,동대문구,서울 동대문구 한천로2길 53 (장안동)
118,전농뉴타운점,동대문구,서울 동대문구 답십리로 77 (전농동)
