,매장이름,구,주소
0,역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동)1522-3232
1,논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동)1522-3232
2,신사역성일빌딩,강남구,서울특별시 강남구 강남대로 584 (논현동)1522-3232
3,국기원사거리,강남구,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232
4,대치재경빌딩,강남구,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232
5,봉은사역,강남구,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232
6,압구정윤성빌딩,강남구,서울특별시 강남구 논현로 834 (신사동)1522-3232
7,코엑스별마당,강남구,서울특별시 강남구 영동대로 513 (삼성동)1522-3232
8,삼성역섬유센터R,강남구,서울특별시 강남구 테헤란로 518 (대치동)1522-3232
9,압구정R,강남구,서울특별시 강남구 언주로 861 (신사동)1522-3232
10,수서역R,강남구,서울특별시 강남구 광평로 281 (수서동)1522-3232
11,양재강남빌딩R,강남구,서울특별시 강남구 남부순환로 2621 (도곡동)1522-3232
12,선릉동신빌딩R,강남구,서울특별시 강남구 테헤란로 409 (삼성동)1522-3232
13,봉은사로선정릉,강남구,서울특별시 강남구 봉은사로 446 (삼성동)1522-3232
14,강남오거리,강남구,서울특별시 강남구 봉은사로2길 39 (역삼동)1522-3232
15,스타필드코엑스몰R,강남구,서울특별시 강남구 영동대로 513 (삼성동)
16,강남구청정문,강남구,서울특별시 강남구 학동로 419 (청담동)1522-3232
17,도곡공원,강남구,서울특별시 강남구 도곡로 205 (역삼동)1522-3232
18,강남R,강남구,서울특별시 강남구 강남대로 390 (역삼동)1522-3232
19,대치은마사거리,강남구,서울특별시 강남구 도곡로 457 (대치동)1522-3232
20,청담영동대로,강남구,서울특별시 강남구 영동대로 720 (청담동)1522-3232
21,압구정,강남구,서울특별시 강남구 압구정로30길 17 (신사동)1522-3232
22,신사가로수,강남구,서울특별시 강남구 가로수길 59 1522-3232
23,청담스타R,강남구,서울특별시 강남구 도산대로57길 24 (청담동)1522-3232
24,강남우성,강남구,서울특별시 강남구 강남대로 328 (역삼동)1522-3232
25,학동사거리,강남구,서울특별시 강남구 도산대로 328 (논현동)1522-3232
26,대치사거리,강남구,서울특별시 강남구 삼성로 402 (대치동)1522-3232
27,포스코사거리,강남구,서울특별시 강남구 테헤란로 505 (삼성동)
28,을지병원사거리,강남구,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)1522-3232"
29,신사역,강남구,서울특별시 강남구 도산대로 108 (논현동)
30,도곡역,강남구,서울특별시 강남구 남부순환로 2909 (대치동)1522-3232
31,서울세관사거리,강남구,서울특별시 강남구 언주로 650 (논현동)
32,청담사거리,강남구,서울특별시 강남구 도산대로 458 (청담동)
33,한티역,강남구,"서울특별시 강남구 도곡로 408, 디마크빌딩"
34,역삼초교사거리,강남구,서울특별시 강남구 역삼로 123 (역삼동)1522-3232
35,코엑스몰,강남구,서울특별시 강남구 영동대로 513 (삼성동)
36,가로수길,강남구,"서울특별시 강남구 논현로175길 94, 1~2층"
