,id,brand_name,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
0,1,SK에너지,(주)보성 세곡주...,서울,강남구,서울 강남구  헌릉로 731 (세곡동),1648,1519,0,1,0,0,0,0,37.46715650000000,127.11870810000000
1,4,SK에너지,자곡셀프주유소,서울,강남구,서울 강남구 밤고개로 120 (자곡동),1697,1559,0,1,0,0,0,0,37.48340020000000,127.10404580000000
2,6,SK에너지,(주)중앙에너비스...,서울,강남구,서울 강남구 광평로 202 (수서동),1717,1597,0,1,0,0,0,0,37.48410530000000,127.09504010000000
3,10,SK에너지,오일프러스 셀프,서울,강남구,서울 강남구 남부순환로 2651 (도곡동),1726,1594,0,1,0,1,0,1,37.48583900000000,127.03967210000000
4,12,SK에너지,대교셀프주유소,서울,강남구,서울 강남구 강남대로 640 (신사동),1770,1670,0,0,0,0,0,1,37.52812920000000,127.03555370000000
5,14,SK에너지,SK서광주유소,서울,강남구,서울 강남구 역삼로 142,1795,1675,0,1,0,1,0,1,37.49434240000000,127.03509150000000
6,18,SK에너지,(유)동하석유 힐...,서울,강남구,서울 강남구 논현로 640,1817,1727,0,1,0,0,0,1,37.51068870000000,127.03256890000000
7,19,SK에너지,SK에너지㈜ 진달...,서울,강남구,서울 강남구 도곡로 208,1819,1689,0,1,0,0,0,0,37.49229500000000,127.04185980000000
8,20,SK에너지,대동석유 압구정주...,서울,강남구,서울 강남구 언주로 842 (신사동),1827,1737,0,1,0,0,0,1,37.52534310000000,127.03382420000000
9,26,SK에너지,대청주유소,서울,강남구,서울 강남구 개포로 654 (일원동),2216,2046,0,1,0,0,0,0,37.49247370000001,127.08567900000000
10,28,SK에너지,SK논현주유소,서울,강남구,서울 강남구 논현로 747 (논현동),2326,2176,0,1,0,1,0,1,37.51863680000000,127.02823800000000
11,33,SK에너지,방아다리주유소,서울,서울특별시,서울 강동구 동남로 811 (명일동),1675,1495,0,1,0,0,0,0,37.54904450000000,127.15082290000000
12,34,SK에너지,sk해뜨는주유소,서울,서울특별시,서울 강동구  상일로 132 (강일동),1689,1569,0,1,0,1,0,0,37.55450850000000,127.17241540000000
13,40,SK에너지,주)지유에너지직영...,서울,강동구,서울 강동구 성안로 102 (성내동),1764,1654,0,1,0,1,0,0,37.53231400000000,127.13317810000000
14,46,SK에너지,북서울고속주유소,서울,강북구,서울 강북구 삼양로 410 (수유동),1585,1425,0,0,0,0,0,1,37.64014480000000,127.01720500000000
15,50,SK에너지,SK에너지(주) ...,서울,강북구,서울 강북구 삼양로 217 (미아동),1600,1457,0,1,0,0,1,0,37.62279770000000,127.01913560000000
16,54,SK에너지,에덴주유소,서울,강북구,서울 강북구 월계로 195 (번동),1675,1545,0,1,0,1,0,0,37.62169580000000,127.04553440000000
17,57,SK에너지,강서오곡셀프주유소,서울,강서구,서울 강서구 벌말로 254 (오곡동),1587,1398,0,1,0,0,0,1,37.55396220000000,126.76842750000000
18,60,SK에너지,(주)타이거오일 ...,서울,강서구,서울 강서구 방화동로 58-2 (방화동),1604,1433,0,0,0,0,0,0,37.56562740000000,126.81240820000000
19,67,SK에너지,KH에너지(주)직...,서울,강서구,서울 강서구 방화대로 30,1655,1475,0,1,1,1,1,0,37.54342080000000,126.81686300000000
20,68,SK에너지,오션네트웍스(주)...,서울,강서구,서울 강서구 양천로 300,1657,1538,0,0,0,0,0,0,37.57038720000000,126.83693060000000
21,69,SK에너지,개화주유소,서울,강서구,서울 강서구 양천로 57,1657,1497,0,1,0,0,0,0,37.57350140000000,126.81009430000000
22,72,SK에너지,세원제1주유소,서울,서울특별시,서울 강서구 양천로 311 (가양동),1670,1560,0,1,0,1,0,0,37.56788020000000,126.85107870000000
23,73,SK에너지,우장산주유소,서울,서울특별시,서울 강서구 강서로 292 (내발산동),1675,1568,0,0,0,0,0,0,37.55249440000000,126.83330610000000
24,74,SK에너지,화곡현대주유소,서울,강서구,서울 강서구 강서로 151 (화곡동),1675,1516,0,1,0,0,0,1,37.54026140000000,126.84119830000000
25,78,SK에너지,SK KH에너지 ...,서울,강서구,서울 강서구 강서로 498 (가양동),1678,1568,0,1,0,1,1,1,37.56978230000000,126.84190220000000
26,84,SK에너지,코리나(주)청룡주...,서울,강서구,서울 강서구 양천로 576,1748,1598,0,1,0,0,0,0,37.55673250000000,126.86276500000000
27,86,SK에너지,염창동주유소,서울,강서구,서울 강서구 양천로 720 (염창동),1993,1875,0,1,0,0,0,0,37.54911130000000,126.87579060000000
28,89,SK에너지,대양석유(주)직영...,서울,관악구,서울 관악구  보라매로 26 (봉천동),1664,1504,0,1,0,0,0,0,37.49168740000000,126.92716030000000
29,91,SK에너지,(주)한유에너지 ...,서울,관악구,서울 관악구 남부순환로 1883 (봉천동),1665,1515,0,1,0,0,0,0,37.47910830000000,126.95916970000000
30,94,SK에너지,SK에너지(주)직...,서울,관악구,서울 관악구 과천대로 921 (남현동),1685,1565,0,1,0,1,1,0,37.47285560000000,126.98215150000000
31,95,SK에너지,SK에너지(주)직...,서울,관악구,서울 관악구 남부순환로 1880 (봉천동),1685,1565,0,1,0,0,1,0,37.47875720000000,126.95834320000000
32,106,SK에너지,(주)장수주유소,서울,광진구,서울 광진구 동일로 266 (군자동),1614,1464,0,0,0,1,0,1,37.55497210000000,127.07151970000000
33,111,SK에너지,유니스에너지 자양...,서울,서울특별시,서울 광진구 아차산로 298 (자양동),1728,1568,0,1,0,0,0,0,37.53169200000000,127.07451600000000
34,112,SK에너지,강평주유소 ㈜강평...,서울,광진구,서울 광진구 아차산로 616,1887,1747,0,1,0,0,0,0,37.54761190000000,127.10720510000000
35,118,SK에너지,서서울고속주유소,서울,구로구,서울 구로구 경인로 150 (오류동),1585,1420,0,1,0,0,0,1,37.49167509999999,126.84284180000000
36,120,SK에너지,구인주유소,서울,구로구,서울 구로구 경인로 558 (구로동),1598,1434,0,1,0,1,1,0,37.50427790000000,126.88609440000000
37,121,SK에너지,SK구로주유소,서울,구로구,서울 구로구 구일로 94 (구로동),1598,1434,0,1,0,0,0,0,37.49360180000000,126.87218900000000
38,132,SK에너지,(주)화동유업 화...,서울,금천구,서울 금천구 시흥대로 484,1613,1477,0,1,0,0,0,0,37.47679740000000,126.89915960000000
39,138,SK에너지,SK에너지(주) ...,서울,금천구,서울 금천구 시흥대로 39-7 (시흥동),1680,1519,0,0,0,0,0,0,37.43719250000000,126.90243290000000
40,140,SK에너지,SK에너지(주) ...,서울,금천구,서울 금천구 시흥대로 441,1684,1525,0,1,0,1,0,0,37.47302890000000,126.89793410000000
41,146,SK에너지,삼육주유소,서울,노원구,서울 노원구 화랑로 822 (공릉동),1615,1475,0,1,0,0,0,0,37.63863790000000,127.10905970000000
42,150,SK에너지,SK에너지㈜직영 ...,서울,노원구,서울 노원구 노해로 527 (상계동),1679,1544,0,1,0,0,0,0,37.65593910000000,127.06640630000000
43,159,SK에너지,삼미북부셀프주유소,서울,도봉구,서울 도봉구 도봉로 437 (쌍문동),1585,1425,0,1,0,0,0,1,37.64982930000000,127.02001970000000
44,165,SK에너지,동일석유(주) 창...,서울,도봉구,서울 도봉구  도봉로 434 (창동),1617,1457,0,1,0,1,0,0,37.64460740000000,127.03274860000000
45,171,SK에너지,풍한주유소,서울,동대문구,서울 동대문구 안암로 168,1585,1445,0,1,0,0,0,1,37.58925310000000,127.03601220000000
46,173,SK에너지,동서울고속주유소,서울,동대문구,서울 동대문구 한천로 414,1587,1427,0,0,0,0,0,1,37.59754190000000,127.06803310000000
47,181,SK에너지,(주)안국에너지 ...,서울,동대문구,서울 동대문구 망우로 90 (휘경동),1658,1498,0,1,0,0,0,0,37.59018270000000,127.06326630000000
48,183,SK에너지,삼영주유소,서울,동대문구,서울 동대문구 답십리로 258 (장안동),1677,1537,0,1,0,0,0,0,37.57230640000000,127.06882240000000
49,184,SK에너지,삼미상사(주)장안...,서울,동대문구,서울 동대문구  한천로 100 (장안동),1679,1539,0,1,0,0,0,0,37.57903520000000,127.06964520000000
50,194,SK에너지,살피재주유소,서울,동작구,서울 동작구 상도로 334,1835,1695,0,0,0,0,0,0,37.49839470000000,126.95140550000000
51,196,SK에너지,마포시엠주유소,서울,마포구,서울 마포구 월드컵북로 62,1579,1429,0,0,0,0,0,0,37.55972590000000,126.91712900000000
52,203,SK에너지,(주)만성상사 대...,서울,마포구,서울 마포구 대흥로 61 (대흥동),1689,1569,0,1,0,0,0,1,37.54595480000000,126.93989910000000
53,204,SK에너지,(주)안국에너지 ...,서울,마포구,서울 마포구 월드컵로 119 (망원동),1718,1549,0,1,0,0,0,0,37.55878200000000,126.90725260000000
54,205,SK에너지,SK에너지 양지주...,서울,마포구,서울 마포구 마포대로 69 (도화동),1734,1661,0,0,0,0,1,1,37.53770020000000,126.94640300000000
